Survey ID,Survey: Remarks [999],Treatment
5634,"OSPAR ID 209: NL3: South of the monitored beach, they collected plant material like seaweed. This may influence the monitoring results, since a lot of litter is removed from the beach/sea with the plant material.",remove
5639,OSPAR ID 209: Worn tetra packs often recorded as foil wrapper,
5640,OSPAR ID 209: 6 days after bft 9,
5644,OSPAR ID 209: INDUSTRIAL SLAG 9,
5645,"OSPAR ID 209: INDUSTRIAL SCRAP, SLAG FOUND 27 TIMES",
5646,OSPAR ID 209: 109 total 5  110 total 1  111 industral slag: total 30,
5647,OSPAR ID 209: 111 TAR 11,
5649,OSPAR ID 209: recent campfires on beach,
5651,"OSPAR ID 209: 111 oil spots 1, slack 30, parafinne pieces 4",
5653,OSPAR ID 209: plastic items: earplugs,
5654,OSPAR ID 209: a lot of sand from the dunes was blown over the beach.,remove
5656,OSPAR ID 209: Zeer harde wind. Windkracht 10!  Veel plastic waaide richting duinen,
5657,"OSPAR ID 209: paraffine op strand, 37 stuks, flinke brokken (=/-10cm)",
5658,OSPAR ID 209: Paper pieces  Wood pieces  Charred bit of burnt wood  Tree branch,
5659,"OSPAR ID 209: Paper pieces  Tree branches, canes",
5660,OSPAR ID 209: Tree branches  Plaque with holes,
5663,OSPAR ID 209: 74- wooden boards,
5664,OSPAR ID 209: 48- 2 mussel needles + 1 dummy + 1 arm buoy  75- wooden boards,
5665,OSPAR ID 209: 75. Wooden stick + wooden branch  102. Lip stick,
5666,OSPAR ID 209: 74. Wooden board,
5667,OSPAR ID 209: 48- clothes peg + fishing device   89- sardine can cover  93- small pieces of glass  111- candle,
5668,OSPAR ID 209: 48-black tube  74-wooden boards  93-glass vessel  111-candles,
5669,OSPAR ID 209: 67-cardboard box  75-wooden boards+boat wreck    one dead fish  vacuum cleaner filter,
5670,OSPAR ID 209: Other wood= sticks and tree branches,
5671,OSPAR ID 209: Plastic tube  Sock  Chocolate paper  Tree branch,
5674,"OSPAR ID 209: Pill tablet, empty",
5675,OSPAR ID 209: Small pieces of polystyrene  Tree branch,
5676,"OSPAR ID 209: 1 pill tablet, emply",
5678,OSPAR ID 209: 48-painting brush handle,
5679,OSPAR ID 209: Broken glasses  Condom packet,
5680,OSPAR ID 209: Handkerchief  Sticks and tree branches  Plastic drug tube  Cigarette butts +100,
5681,OSPAR ID 209: Tree branch  Sewer piece,
5683,OSPAR ID 209: 74. Tree branches,
5684,OSPAR ID 209: 75. Tree branch,
5686,OSPAR ID 209: 75-wooden boards    beach cleaning and desinfection the day before the survey    beach acess difficulty due to rebuilding,
5687,OSPAR ID 209: 48-surf bracelet and cookies box  67-bait box,
5688,OSPAR ID 209: Plastic pieces  Polystyrene pieces  Sticks and tree branches  CAnes,
5689,OSPAR ID 209: 74-wooden sticks,
5690,OSPAR ID 209: 74-sticks,
5691,OSPAR ID 209: 48- PVC tubes  67- box  75- wooden sticks,
5692,OSPAR ID 209: 67- newspaper pieces   74- wooden sticks,
5694,OSPAR ID 209: 67-Kinder box  89-Nivea creme box  93-glass piece,
5695,OSPAR ID 209: 93 - Pieces of glass,
5696,OSPAR ID 209: Feathers:28  Canes:10  Cord textile: 1  Sepia bone: 1  Matches: 1,
5697,OSPAR ID 209: Plastic pieces  Canes  2 pieces of cork,
5698,OSPAR ID 209: 74-sticks  75-wooden board,
5699,OSPAR ID 209: 74-wooden boards  75-wooden boards,
5700,OSPAR ID 209: 46. Plastic pieces  74. Canes,
5701,OSPAR ID 209: 67- box  74- wooden sticks,
5702,OSPAR ID 209: 89. Candle stick,
5703,OSPAR ID 209: 48- shoes sole,
5704,OSPAR ID 209: 74-wooden boards  88-iron bar,
5705,OSPAR ID 209: 67 - Piece of white paper  74 - Wooden stick,
5706,OSPAR ID 209: Plastic cover  Tube,
5707,OSPAR ID 209: Flexible tube  Pair of diving glasses  Tree branches  Wooden board  Bandaging  Cane: 1,
5708,OSPAR ID 209: 48- polystyrene tube  74- wooden boards,
5709,OSPAR ID 209: Wood boards  Wood board,
5710,OSPAR ID 209: 46. Polystyrene board  67. Box,
5711,OSPAR ID 209: 46. Bag + polystyrene board  67. Box,
5712,OSPAR ID 209: 48- purse + bracelet,
5713,OSPAR ID 209: 48-coat hanger  67-bait box  74-wooden board,
5714,OSPAR ID 209: 67 - Bait box  75 - Wooden boards,
5715,OSPAR ID 209: 74- wooden boards,
5716,OSPAR ID 209: 74- wooden boards,
5717,OSPAR ID 209: 48- plastic box+ coat-hanger  53- diving glasses  75- wooden boards  102- toothbrush  105- pill container,
5718,OSPAR ID 209: 74. Wooden board + 1 tree branch,
5721,OSPAR ID 209: 48- bucket handle,
5722,OSPAR ID 209: 48-plastic box  74-wooden boards,
5723,OSPAR ID 209: 48-analitic tube  67-bait box  74-wooden board,
5731,OSPAR ID 209: Due to severe ice conditions the survey was done in mid-March 2003,
5733,OSPAR ID 209: 1 hawser 11 metres,
5735,"OSPAR ID 209: 1 hawser 7,5 metre",
5736,"OSPAR ID 209: 1,5 m hawser",
5737,OSPAR ID 209: 3 glass jars  35 caps for snuff boxes  18 snuff boxes,
5742,"OSPAR ID 209: 3 sacks of polysdtyreme pieces and packaging  3 sacks with ropes and cords  7 sacks with industrial packaging, plastic sheeting",
5743,"OSPAR ID 209: 1 sack ropes. cords and lines.  5 sacks industrial packaging, plastic sheeting,  1 trawl",
5744,"OSPAR ID 209: 2 sacks ropes, cordes and lines  1 sack industrial packaging and plastic sheeting  3 sacks of paper cartons  3 sacks metal spray cans, food cans and paint tins.  3 fenders  2 hawsers",
5745,"OSPAR ID 209: 0,5 sack 4/6 yokes  2 sacks ropes, cords and nets <50 cm  3 sacks ropes, cords and nets>50 cm  1 refrigerator  1 container door  2 disposal grills",
5746,OSPAR ID 209: 53. Rubber mouldin and hawser,
5747,"OSPAR ID 209: 19. Not counted. 1/4 sack  32. Not counted. 0,5 sack  46. Not counted, 0,5 sack  58. Not counted. 0,5 sack",remove
5748,"OSPAR ID 209: half a sack with tangled plastic ropes and line, about 5 mm thick, mostly organge but also blue and white.",
5749,OSPAR ID 209: + 5 sacks filled with tangled organge plastic rope.  1 Plastic drum with 20 litres of waste oil.,
5750,"OSPAR ID 209: Half a sack filled with tangled cords, 5 mm, mostly orange, but also blue and white.",
5751,"OSPAR ID 209: 1,5 sack with tangled ropes/cords about 5 mm thick.",
5753,"OSPAR ID 209: 0,5 sack of ropes and cords longer than 50 cm.",
5754,OSPAR ID 209: 111. lumps of oil 5 cm  4 sacks with plastic tangled nets and cords,
5755,OSPAR ID 209: 1 sack with entangled nets and cords.,
5756,"OSPAR ID 209: 0,5 sack tangled nets  3 loggs and 10 planks",
5757,"OSPAR ID 209: 111. Grease, 30 cm  31. 4 sacks with pieces for plastic ropes and cords",
5758,"OSPAR ID 209: 31.0,5 sack with peices of plastic ropes and cords",
5759,"OSPAR ID 209: 31. 0,5 sack with pieces of plastic ropes and cords",
5760,OSPAR ID 209: 90. Iron plate nailed on larger piece of wood,
5763,OSPAR ID 209: 1 smoke grenade (from submarine),
5764,OSPAR ID 209: Unusual small quantities of litter. Exeptional wind patterns summer-autumn-spring. Mostly easterly winds.,
5766,"OSPAR ID 209: Oil filter, diesel filter",
5767,OSPAR ID 209: F,
5768,OSPAR ID 209: 48. Plastic pot  53. Part of a rubber band  59. Caps  89. Tuschpenna  93. Glas jar,
5770,OSPAR ID 209: 20 sacks filled with plastic/polystyrene,
5771,OSPAR ID 209: 30 sacks filled with plastic/polystyrene  177 metres of ropes and cords  41 metres of net,
5772,OSPAR ID 209: 12 sacks filled with plastic/polystyrene,
5773,OSPAR ID 209: 11 sacks filled with plastic and polystyrene items,
5775,OSPAR ID 209: A total of 90 sacks filled with litter,
5776,OSPAR ID 209: 6 sacks filled with plastic/polystyrene,
5777,OSPAR ID 209: 1 25 litre plastic drum filled with waste oil  16 sacks in total,
5778,OSPAR ID 209: Total 30 sacks,
5779,OSPAR ID 209: Total 10 sacks.  The milk cartons were Dutch.,
5780,OSPAR ID 209: Total 35 sacks,
5790,OSPAR ID 209: 25 l oil in plastic drum  1 l oil in glass bottle,
5793,"OSPAR ID 209: One heavy hawser, 20 metres long (for towing)",
5794,OSPAR ID 209: 25 litres of oil mixed with seaweed.,
5797,OSPAR ID 209: 3 lumps of oil the size of eggs.,
5798,OSPAR ID 209: Small lumps of oil.,
5799,OSPAR ID 209: 5 l glycol,
5800,OSPAR ID 209: 3 hawsers,
5803,OSPAR ID 209: 55. Industrial tube/hose  109.oil  OBS! Area surveyed 3 days before the storm,
5804,OSPAR ID 209: 13 heavy  hawsers 1-8 metres in length  82. 11 disposable grills  93. 1 Radio tube,
5805,OSPAR ID 209: Other pollutants counted per 100 m.,
5806,"OSPAR ID 209: 53. Rubber hose, 6 m.  2 candles",
5807,OSPAR ID 209: 105. Ampuller samt kartor med ryssfemmot och p-piller,
5808,OSPAR ID 209: Less oil than usual,
5813,OSPAR ID 209: 93: pieces of broken glass  96: pieces of broken ceramics,
5814,OSPAR ID 209: 79= Freezer/fridge,
5820,"OSPAR ID 209: 48: 1 clothes peg, 2 pen lids, 1 ear plug, 1 plastic balloon tie, 1 pipe fastener  53: 3 rubber bands",
5821,"OSPAR ID 209: 1 plastic sealing tag from Spain, 1 plastic yoghurt pot from Poland.",
5823,"OSPAR ID 209: 48: top from a thermos flask, clotes peg, bucket handle, tubeds of lipstick, plant label,",
5824,OSPAR ID 209: 67: 1 x Paper piece  93: 12 x Glass pieces  96: Not specified,
5827,OSPAR ID 209: 1 x lge piece of kitchen worktop,
5832,OSPAR ID 209: all pieces of catagory  93-  96-  67-,
5834,OSPAR ID 209: 48= babies dummy  53= dog toy  90= lid,
5835,"OSPAR ID 209: 102= razor cap, deoderant lid  105= Mask, bandage",
5836,OSPAR ID 209: 105= plaster,
5837,"OSPAR ID 209: 102= nicotine patch, plastic toothpick, toothbrush",
5839,OSPAR ID 209: 48: 1 piece bubble wrap 2 clothes pegs  59: 59 cloth pieces 1 toy dolls top 3 not specified  67: 33 paper pieces  89: 1 nail 1 pipe cleaner  90: 3 car parts  102: 2 toilet paper 1 baby wipe    41 volunteers,
5840,OSPAR ID 209: 102: 1 sanitary towel wrapper    'other' items not identified    7 volunteers,
5843,OSPAR ID 209: 102=babywipes x2  105= plaster,
5844,"OSPAR ID 209: 53= sealant, window surround  102= nappy",
5845,OSPAR ID 209: 102= 11xnappies,
5846,OSPAR ID 209: 59: 47 Unidientified bits of cloth,
5848,OSPAR ID 209: 59 = INCLUDES 1 SOFA BED,
5851,OSPAR ID 209: Trace of oil  102: Wipes,
5852,OSPAR ID 209: survey carried out on 11/02/06 outside OSPAR survey window.,
5853,OSPAR ID 209: 9 Volunteers,
5854,"OSPAR ID 209: 48: 2x electrical cable, 2x bubble wrap  59: 1 glove, 1 sock  89: 1 disposable BBQ  90: 1 Capacitor  102: 4x plasters",
5855,"OSPAR ID 209: 53:4 Rubber pieces, 1 30cm tube 1 Belt  59:1 Ribbon, 2 Leather.  67:14 Paper pieces.  74:1 wood piece,1 Fibreboard 7 Plasterboard.   89:1 BBQ(Disposable)& 2 metal pieces.  93:17 glass pieces. 102:5 Nappies,11 wet wipes.",
5861,"OSPAR ID 209: 59: 3 cloth pieces  75: 30 planks/cut wood  102: nappies, nappy disposal bags and miscellaneous  104: (no needles attached)    Survey took place after a series of severe gales - more sewage related plastic items than usual, includ",
5862,"OSPAR ID 209: 48: 1 child's potty 1 thermos flask  74: 59 cut pieces wood  75: 30 planks  89: 1 car part (oil filter), 1 industrial oil filter  102: 38 nappy bags    1 volunteer  1000m of beach surveyed  (menie beach - wrote that the beach",
5869,OSPAR ID 209: 59: Carpet  102: wet wipes,
5871,OSPAR ID 209: plank,
5875,OSPAR ID 209: 47=bucket handle,
5878,OSPAR ID 209: 89: Disposable Barbecue  traces of oil.,
5883,OSPAR ID 209: 53: 2 x Rubber pieces <50cm  89: 1 x saucepan  Unsure of number to put this against. Oil / Tar: Trace present,
5890,OSPAR ID 209: 102: Face mask,
5891,OSPAR ID 209: 14 volunteers,
5892,OSPAR ID 209: 48: 5 traffic cones,
5893,OSPAR ID 209: 53: 5 x rubber pieces > 50cm and 2 x rubber pieces >50cm.  89: 1 x car battery & 2 x metal pieces.  102: 2 x nappies.  67: 28 x paper pieces.  74: 14 x wood pieces.  93: 29 x Glass pieces  96: not specified.,
5896,"OSPAR ID 209: 53: 4 Black Bands  59: 84 pieces of cloth  90: 3 BBQ, 1 Rack",
5898,OSPAR ID 209: 90: car parts,
5899,"OSPAR ID 209: 53: Pieces of rubber  59: Pieces of cloth  74, 75: Pieces of wood",
5901,OSPAR ID 209: 48: 48 pieces of unidentified polystyrene packaging  53: 22 unidentified rubber pieces and 1 ball  59: Scourer for washing dishes  90: Disposable BBQ's  102: Baby wipes,
5903,"OSPAR ID 209: 1 candle, drs hospital mask, part of toilet seat  36 volunteers",
5904,"OSPAR ID 209: 48: 1 Inflatable  90: 16 disposable BBQs  102: 15 Wet Wipes, 2 Contact lense cleaner, 3 Nappies",
5905,OSPAR ID 209: 90: disposable BBQs,
5906,OSPAR ID 209: 48: 5 x Traffic cones  53: Rubber pieces <50cm  89: Metal pieces <50cm  105: 6 x plasters,
5909,"OSPAR ID 209: charcoal, pencil",
5910,OSPAR ID 209: pencil,
5915,OSPAR ID 209: 48: 1 bucket,
5922,"OSPAR ID 209: 90 = ZIP, 47= BLUE PIECE OF PLASTIC 2M LONG",
5924,OSPAR ID 209: survey conducted on 30th january 2006 - outside survey window.,
5925,"OSPAR ID 209: 2 volunteers, low litter counts are thought to be due to very high tides in the week before the survey.",
5928,OSPAR ID 209: 47: 1 x hosepipe (rest of items not specified)  53: 2 x rubber pieces - not specified  89: 1 x piece of metal - not specified  67: 1 x paper piece  74: Not specified,
5931,OSPAR ID 209: 48: bubble wrap  59: Bits of cloth  89: Metal pieces  93: Broken Glass  102: Wipe  105: Pills bottle,
5932,OSPAR ID 209: 102= razor,
5933,OSPAR ID 209: Survey conducted on 11/02/06 - outside survey window,
5934,"OSPAR ID 209: 48: 3 Strimmer chords, 1 Childrens Fishing net",
5937,OSPAR ID 209: 47: Lobster pot  89: Metal pieces  74: Wood pieces,
5942,OSPAR ID 209: 48= nylon shawl,
5943,"OSPAR ID 209: 89= 3x oven shelves 6 pieces of bicycle  90= 3m of cable  105= 1 dummy, 1 plaster",
5945,OSPAR ID 209: 90: a fire guard,
5946,"OSPAR ID 209: 1 metal rod, 1 metal lock",
5947,"OSPAR ID 209: 53: 2 balls, 1 tube  59: 1 ball of wool  74: 14 wood pieces, 2 matches",
5948,OSPAR ID 209: 102: Childs Nappy,
5950,OSPAR ID 209: 48: 1 X Marker buoy  90: Pipe,
5953,OSPAR ID 209: 1 x 6cm piece hardboard,
5954,OSPAR ID 209: 48: plastic tube,
5957,"OSPAR ID 209: 48: part of a boat  74, 75: Unidentified  90: 2 pieces of lobster pots",
5958,OSPAR ID 209: 105 tablet strip,
5959,OSPAR ID 209: 47= includes car bumper,
5962,OSPAR ID 209: 102= tablets and inhaler  59= sheeps fleece,
5963,"OSPAR ID 209: 90= car parts  102= razor, dummy",
5966,OSPAR ID 209: 7 Volunteers,
5967,"OSPAR ID 209: 2 Volunteers, 4 plastic plant pots",
5968,OSPAR ID 209: 89: 2 disposable BBQs  102: Toothbrush,
5970,OSPAR ID 209: 8: The oil drum was a 20L oil can of french origin  47: 1 x pack of plastic distress beacons  67: 1 x paper piece,
5971,OSPAR ID 209: 11xplyboard,
6002,OSPAR ID 209: 102=plaster,
6004,OSPAR ID 209: 67: pieces of paper,
6005,OSPAR ID 209: 5 volunteers,
6006,OSPAR ID 209: 67: 18 paper pieces  105: 1 plaster    7 volunteers,
6007,OSPAR ID 209: 67- paper pieces  59-6x fleece pieces  53- elastic band and golf tee,
6013,"OSPAR ID 209: 66: Rubber band, 67: piece of paper, 102: wet wipe tissues",
6014,OSPAR ID 209: 67- paper pieces  105- plaster,
6015,OSPAR ID 209: 89= nails  90=bar-b-que x 3  102= 7 tissues 6 baby wipes,
6018,OSPAR ID 209: 102=razor,
6022,OSPAR ID 209: 89=frying pan  90= car parts,
6023,OSPAR ID 209: 102= nappies,
6027,OSPAR ID 209: 90:  2 Disposable BBQs,
6028,"OSPAR ID 209: 48: 1 very large plastic drum, 1 concrete block  102: razor  75: skate board",
6029,OSPAR ID 209: Trace of Oil / Tar  90: 1 x large propane cylinder,
6032,OSPAR ID 209: 53: Washers  93:Pieces of broken glass,
6034,OSPAR ID 209: 89- rusty nail  90- tent peg  48- printer cartridge  75- large strips  59- cloth covered button,
6035,OSPAR ID 209: 59: 9 cloth pieces  67: 31 paper pieces  90: 2 metal pieces  102: 2 nappies    4 volunteers,
6036,OSPAR ID 209: 89- food can and BBQ grill  67- paper peices  59- 8x industrial felting,
6037,OSPAR ID 209: ***** beach length surveyed = 500m ******,
6038,OSPAR ID 209: 105= plastic container - octrivine  *** Beach length surveyed = 500m ****,
6039,OSPAR ID 209: 105= plaster  *** beach length surveyed= 650m***,
6040,OSPAR ID 209: 1 volunteer  1000m of beach surveyed,
6041,"OSPAR ID 209: OBS! 1000 metre survey area.  90: 1 piece gutter  91: these were both ""messages in a bottle"" glass bottles from school children in England  1 piece of plastic found wasa sweet wrapper at least 30 years old,",
6042,"OSPAR ID 209: OBS! 1000 metre surveyed  105: 1 plastic tube marked salbutamil, 3 plasters  67: 6 tissues, 1 supermarket receipt, shop label  89: piece of house guttering  75: 2 pencils, 1 mostly wooden shoe, 7xgarden refuge",
6043,OSPAR ID 209: ****beach length surveyed = 500m*****,
6044,OSPAR ID 209: OBS! 1000 metre stretch surveyed.,
6045,OSPAR ID 209: Surveyed area: 60 m,
6046,"OSPAR ID 209: OBS! 1000 metre survey area  53: bycycle inner tube, 3 pieces of strapping  89: metal floor.",
6047,OSPAR ID 209: OBS! 600 metres surveyed.,
6048,OSPAR ID 209: OBS! 15 700 metres surveyed    67: paper pieces,
6049,OSPAR ID 209: survey area: 1000 m,
6050,OSPAR ID 209: Surveyed area: 1000 m,
6051,OSPAR ID 209: Length of beach surveyed: 250m  48: 1 x Inflatable dinghy & 8 x bubble wrap bags  53: Hose  102: 1 x Nappy & 7 x Wet wipes  93: Glass pieces,
6052,OSPAR ID 209: OBS! 200 metre survey area.,
6053,OSPAR ID 209: OBS! 200 metre stretch surveyed,
6054,OSPAR ID 209: PLEASE NOTE: Length of Beach surveyed was 200m,
6055,OSPAR ID 209: OBS! 200 metre surveyed,
6056,OSPAR ID 209: Survey area: 200 m,
6057,OSPAR ID 209: survey area:200 m,
6058,OSPAR ID 209: survey area: 200 m,
6059,OSPAR ID 209: 90: 1 metal Bar  111: Trace amounts of oil    Survey carried out over 200m,
6060,OSPAR ID 209: Length of beach surveyed: 200m  Some Oil / Tar present  53: 14 x Rubber pieces <50cm  89: 2 x Metal pieces  83: 1 x Car part (not sure where else to put this)  105: 1 x Inhaler  74: 120 x wood pieces (2x10x150cm),
6061,OSPAR ID 209: 53: small pieces of rubber  74: various pieces of wood  89: 1 piece of metal  93: broken glass  NOTE: THIS SURVEY IS OF 150m.  150m SURVEYED,
6062,OSPAR ID 209: OBS! 1000 metre survey area  102: nappies,
6063,OSPAR ID 209: Survey area: 1000 m,
6064,OSPAR ID 209: survey area: 1000 m,
6065,OSPAR ID 209: Survey area: 150 m,
6067,OSPAR ID 209: 102= toothbrush and razor  *** beach length surveyed= 260m ***,
6068,OSPAR ID 209: 53= door seal  89=BBQ grill  ***Beach length surveyed = 260m ****,
6069,OSPAR ID 209: 89 1 petrol can   90: 1 car part 1 tin sheet 1 wheel    23 volunteers  135m of beach cleaned,
6070,OSPAR ID 209: 53: 4 unidentified rubber pieces  67: 10 paper pieces  102: 1 nappy    11 volunteers  135m of beach surveyed,
6071,OSPAR ID 209: PLEASE NOTE: 135m Were surveyed  Traces of Oil were found  53: Unidentified pieces of rubber  Survey Length: 135m,
6072,OSPAR ID 209: Survey area: 135 m,
6073,OSPAR ID 209: Survey area: 135 m,
6074,"OSPAR ID 209: NOTE: THIS SURVEY IS OF 135M  traces of oil were found  48: 1 piece of polystyrene, 1m long.",
6075,OSPAR ID 209: Distance covered - 135m,
6076,OSPAR ID 209: beach length surveyed= 400m,
6077,OSPAR ID 209: Beach length surveyed = 400m,
6078,OSPAR ID 209: beach length surveyed = 400m,
6079,OSPAR ID 209: 48: 1 plastic fork  53: 2 unidentified rubber pieces  59: 1 unidentified cloth piece  67: 57 unidentified paper pieces  74: 1 cricket bail  102: 1 nappy    5 volunteers  296m of beach surveyed,
6080,OSPAR ID 209: 67: 22 paper pieces  107: 15 donkey faeces    3 volunteers  296m of beach surveyed,
6081,OSPAR ID 209: OBS! 300 metre survey area  93: glass pieces  67: paper pieces,
6082,OSPAR ID 209: OBS! 300 metre survey area  47: 3xpieces of bags and 3 broken pieces of polystyrene  59: cloth scraps  102: tissue  105: plasters,
6083,OSPAR ID 209: 102= plaster  Beach length surveyed = 400m,
6084,OSPAR ID 209: 105= plasters  Beach length surveyed= 400m,
6085,"OSPAR ID 209: 90= car part  102= 4x nappies  ****Beach length surveyed = 2,286m *****",
6086,"OSPAR ID 209: 48=lipstick, Tape  105=plaster  ********  Beach length surveyed = 1609m   ******",
6087,OSPAR ID 209: beach survey length= 1609m,
6088,OSPAR ID 209: OBS! 500 metre syrvey area  97: nails+battery,
6089,"OSPAR ID 209: 48= ball, half a bucket and 2 blow up fishes  90= road sign  102= 33x nappies 6x incontinance pants.  111= trace amounts of oil  ***Length of beach surveyed = 430m *****",
6090,OSPAR ID 209: OBS! 430 metre survey area.  48: telephone  59: umbrella fabric  89: bent wire x 3  90: 4ft pole.,
6091,OSPAR ID 209: OBS! 470 metre surveyed  53: beachball  90: metal posts,
6092,OSPAR ID 209: OBS! 470 metre surveyed  105: plasters,
6093,OSPAR ID 209: OBS! 470 metres surveyed  102: nappies,
6094,"OSPAR ID 209: OBS! 470 metre syrvey area  2 flower pots, 1 shoe sole, piece of carpet, 3 fireworks.",
6095,OSPAR ID 209: 67: 16 paper piecies  105: 1 asthma inhaler    7 volunteers  470m of beach surveyed,
6096,OSPAR ID 209: OBS! 470 metre survey area.,
